position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
27,Roller,Apache 207,0.941,0.758,0.17,0.683,0,0.0256,128.017,157093,-6.47,10,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
28,My Oh My (feat. DaBaby),Camila Cabello,0.724,0.491,0.0296,0.383,1,0.018,105.046,170746,-6.024,8,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
29,Luft,Lucio101,0.58,0.799,0.398,0.791,0,0.403,69.401,99000,-6.318,10,https://open.spotify.com/track/6ruutN8MvN94yb5pNGIkwL
30,ROXANNE,Arizona Zervas,0.621,0.601,0.148,0.457,0,0.0522,116.735,163636,-5.616,6,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
31,COLT,Samra,0.544,0.53,0.428,0.184,0,0.345,90.093,179813,-6.168,9,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
32,Say So,Doja Cat,0.787,0.673,0.158,0.786,0,0.256,110.962,237893,-4.577,11,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
33,Suicidal,YNW Melly,0.735,0.369,0.0688,0.235,0,0.334,140.004,222997,-9.682,9,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
34,Als wenns gestern war,Slavik,0.529,0.674,0.413,0.476,0,0.175,85.664,142225,-8.308,8,https://open.spotify.com/track/5yWnIalBcSZn8vKwZd3VJa
35,Elements,Joyhauser,0.671,0.936,0.0404,0.0679,1,0.00624,130.009,417231,-8.993,5,https://open.spotify.com/track/0C6aMqg0IlMqSNTxpmRbko
36,Push My Button,JustLuke,0.827,0.599,0.0724,0.219,1,0.166,128.026,170645,-6.232,2,https://open.spotify.com/track/5JOzlGzD88l09GXJSlPxng
37,Wenn die Party vorbei ist,Provinz,0.58,0.693,0.0568,0.687,1,0.024,147.744,187108,-6.563,0,https://open.spotify.com/track/5tDbfppCFIQfmszRQyVL6U
38,Texas Sun,Khruangbin,0.632,0.637,0.0348,0.614,1,0.0352,111.551,252812,-10.011,7,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw
39,If the World Was Ending - feat. Julia Michaels,JP Saxe,0.464,0.473,0.129,0.604,1,0.866,75.801,208687,-10.086,1,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
40,Eternal Youth,RŮDE,0.655,0.487,0.033,0.0454,1,0.0347,139.914,205766,-7.988,6,https://open.spotify.com/track/0ytvsZOerGzUWfHXVT2Sgy
41,Problems,DeathbyRomy,0.761,0.554,0.0432,0.381,1,0.226,145.015,188505,-4.583,0,https://open.spotify.com/track/5fgHQws1Cj6KDLQmlqM6lF
42,something left to be said,dane,0.668,0.564,0.0268,0.316,1,0.309,100.99,171968,-7.815,8,https://open.spotify.com/track/6IeFrWehFc77NubbkgR58K
43,Gangsta,Darkoo,0.708,0.649,0.306,0.595,1,0.367,200.125,216000,-7.961,0,https://open.spotify.com/track/0KzhyaVtr2v4J9GVdMgCk0
