position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
8,Sigues Con El,Dímelo Flow,0.883,0.668,0.113,0.676,1,0.11,87.972,226533,-2.957,9,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
9,Calle Melancolía,Robe,0.491,0.743,0.0423,0.161,1,0.0356,91.047,380973,-5.821,4,https://open.spotify.com/track/3li6qqddV84LgSw9lgh0sG
10,GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.907,0.539,0.36,0.664,1,0.0408,124.918,150115,-7.782,4,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
11,The Box,Roddy Ricch,0.896,0.586,0.0559,0.642,0,0.104,116.971,196653,-6.687,10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
12,Fuera De Mi Mente,Lérica,0.741,0.94,0.101,0.702,1,0.169,93.994,181433,-2.068,1,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
13,No Idea,Don Toliver,0.651,0.631,0.0896,0.35,0,0.519,127.994,154424,-5.717,6,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
14,Dance Monkey,Tones And I,0.825,0.593,0.0988,0.54,0,0.688,98.078,209755,-6.401,6,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,Alocao (With Bad Gyal),Omar Montes,0.673,0.752,0.0567,0.699,0,0.214,178.005,209320,-4.705,11,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
16,Tu Historia y la Mía,Hens,0.696,0.725,0.211,0.537,0,0.367,111.968,200441,-7.358,8,https://open.spotify.com/track/4ptmvueuWgilsYwI6u9V46
17,Perreo en La Luna,Rich Music LTD,0.711,0.757,0.29,0.724,0,0.268,174.013,218587,-4.188,1,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
18,Cerrado Por Derribo,Niño de Elche,0.62,0.375,0.0668,0.307,1,0.647,125.932,221794,-9.278,3,https://open.spotify.com/track/4G5ZP9W0rznQ4UiDPTjktF
19,Solito (Lonely) [feat. Nicky Jam & Akon],Messiah,0.732,0.871,0.0418,0.564,1,0.192,98.019,230127,-1.406,10,https://open.spotify.com/track/0yxU21ecIK43OvBh4apONo
20,All I Want - From "High School Musical: The Musical: The Series",Olivia Rodrigo,0.376,0.43,0.0328,0.129,0,0.0902,77.599,177323,-6.585,0,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
21,Dream Girl - Remix,Ir Sais,0.767,0.643,0.101,0.536,1,0.216,169.99,192452,-5.225,5,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
22,Blanco,J Balvin,0.87,0.706,0.126,0.593,0,0.0253,100.013,145800,-5.395,9,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
23,Se iluminaba,Fred De Palma,0.791,0.693,0.0639,0.624,0,0.0811,123.923,174291,-4.98,0,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
24,El Fin del Mundo,La La Love You,0.6,0.866,0.0477,0.676,1,0.000839,127.056,188094,-4.599,4,https://open.spotify.com/track/5SeYlZyKVENMOxiSPQkKyw
25,ROXANNE,Arizona Zervas,0.621,0.601,0.148,0.457,0,0.0522,116.735,163636,-5.616,6,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
26,Hola - Remix,Dalex,0.654,0.672,0.311,0.343,0,0.471,181.857,249520,-5.98,0,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
27,Vete,Bad Bunny,0.886,0.672,0.188,0.526,1,0.0363,91.976,192024,-4.394,1,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
28,A Dónde Vamos,Morat,0.627,0.608,0.0364,0.955,1,0.00677,149.029,203102,-12.914,0,https://open.spotify.com/track/671sG3ETDxC3L6qcGIrHRM
29,Cada Una de Mis Canciones,Yer,0.466,0.684,0.16,0.512,1,0.821,69.18,193154,-8.216,1,https://open.spotify.com/track/4lCo6J8mQHf2EoDc3pOtzL
30,RITMO (Bad Boys For Life),Black Eyed Peas,0.721,0.716,0.0657,0.667,0,0.0334,104.994,221714,-7.037,10,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
31,Blinding Lights,The Weeknd,0.513,0.796,0.0629,0.345,1,0.00147,171.017,201573,-4.075,1,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
32,La Uni (with Darell & Bryant Myers),Leo Bash,0.811,0.801,0.156,0.608,1,0.152,172.02,240187,-4.641,1,https://open.spotify.com/track/17Ad6mpZ4je7EYz758Jih3
33,Pikete italiano,KvndySwing,0.835,0.473,0.216,0.263,1,0.327,95.002,188182,-6.672,8,https://open.spotify.com/track/0irFsBbVTns85AOtJQ9kis
34,Loco por Verte,Los Hitmen,0.771,0.521,0.199,0.437,0,0.119,159.904,256920,-5.609,6,https://open.spotify.com/track/7JUvz8eMJTJYJ1dHYUcK7y
35,Habibi,La Cebolla,0.685,0.69,0.188,0.854,0,0.594,180.094,195618,-5.389,1,https://open.spotify.com/track/0GugHAcaTXnPmxmflZCb62
36,Say So,Doja Cat,0.787,0.673,0.158,0.786,0,0.256,110.962,237893,-4.577,11,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
37,Easy - Remix,Jhay Cortez,0.886,0.752,0.0949,0.435,0,0.191,94.066,220147,-3.819,1,https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU
38,El Violador Eras Tu,El Perro,0.79,0.869,0.0723,0.991,0,0.15,60.009,217052,-6.005,6,https://open.spotify.com/track/2F7cYJoV7pwncBNA8LI1iq
39,PORFA,Feid,0.843,0.549,0.164,0.541,0,0.0948,83.982,233000,-8.018,6,https://open.spotify.com/track/3iQOfefMGDVDwo8dZoco8T
40,My Dog Is,C.Terrible,0.858,0.681,0.243,0.802,1,0.327,96.496,184041,-7.501,0,https://open.spotify.com/track/1AnWtLKn7r9rxK1cdCY4A6
41,Adore You,Harry Styles,0.676,0.771,0.0483,0.569,1,0.0237,99.048,207133,-3.675,8,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
42,Enciéndelo,Joseph El De La Urba,0.756,0.65,0.45,0.66,0,0.439,97.725,229133,-3.142,10,https://open.spotify.com/track/5MA74oQBT1lVZtAVuMJAm0
43,Como el Agua - Remix,Ana Mena,0.676,0.72,0.0638,0.634,0,0.436,149.73,171300,-5.647,11,https://open.spotify.com/track/5FJ4xmp1XXTDyqPlF4lFPt
44,No Vuelvas Más,Darell,0.866,0.602,0.0844,0.836,1,0.434,95.016,239093,-5.236,11,https://open.spotify.com/track/0mcBgVRVsvESTkEyVHt7Ue
45,Bellaquita - Remix,Dalex,0.795,0.715,0.0838,0.758,1,0.141,165.941,304733,-3.582,1,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
46,Viñeta,David Cuello,0.681,0.685,0.0513,0.78,1,0.00792,92.018,191739,-6.058,6,https://open.spotify.com/track/3pZbBQavlDMfnbksk2StCd
47,Escopeta,Deikirisy,0.856,0.776,0.262,0.697,1,0.118,98.28,191020,-3.422,7,https://open.spotify.com/track/4QVGuSHz6gBTdPLWHBCAXf
48,Rueda,Chimbala,0.888,0.916,0.0922,0.96,1,0.165,130.04,210528,-2.196,9,https://open.spotify.com/track/71NGDQ9vSPXm55pyWeAxKK
49,Por Qué Será,Love Yi,0.747,0.64,0.0463,0.495,1,0.172,100.027,219225,-4.822,11,https://open.spotify.com/track/6bfO7bNQaOOhcAFSrGT4d0
50,Leña para el Carbón,J.Mastermix,0.614,0.778,0.133,0.859,0,0.0727,204.033,129175,-5.036,8,https://open.spotify.com/track/58Yyhhx7SWGNacGk1m4WUy
1,Me Da Asco Tu Familia,Nadie Sabe Nada,0.505,0.885,0.0968,0.785,1,0.00236,168.036,86299,-8.822,9,https://open.spotify.com/track/4iN8XAk63IUwMPBYKiE0kD
2,Kraazy,Likybo,0.689,0.701,0.237,0.37,0,0.314,94.982,151579,-9.477,6,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
3,Tusa,KAROL G,0.803,0.715,0.298,0.574,1,0.295,101.085,200960,-3.28,2,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,+,Aitana,0.561,0.666,0.0322,0.675,1,0.106,160.019,219367,-4.243,8,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
