position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
28,Rockstar,ARMAN,0.856,0.735,0.122,0.49,1,0.081,116.052,176897,-6.36,9,https://open.spotify.com/track/1NQS8aq06LI8LiYpcXToYs
29,THE SCOTTS,THE SCOTTS,0.716,0.537,0.0514,0.28,0,0.233,129.979,165978,-7.648,0,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
30,Think About Things,Daði Freyr,0.871,0.341,0.0576,0.612,0,0.0311,127.001,173386,-8.932,3,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
31,Somebody's Watching Me,Chico Rose,0.712,0.857,0.052,0.207,0,0.0855,124.963,176640,-4.922,1,https://open.spotify.com/track/3vrm4dNThrhQ0BArrLIUOV
32,Mielenvika,Eteläranta,0.485,0.495,0.0262,0.43,1,0.358,82.337,286002,-7.351,9,https://open.spotify.com/track/5S1SYsHHNhKahZsjHez6P1
33,100%,Keko Salata,0.735,0.676,0.0826,0.331,1,0.702,102.115,203749,-6.381,8,https://open.spotify.com/track/6WVeP76nOIPfbGN67aJ2Pq
34,I Like Him,Princess Nokia,0.893,0.579,0.113,0.611,1,0.0641,133.018,132453,-8.995,9,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
35,Coño (feat. Jhorrmountain x Adje),Puri,0.858,0.696,0.198,0.363,1,0.0209,100.123,207656,-5.067,9,https://open.spotify.com/track/5EJZNof8hSELOY73el18RM
36,Sykepleierinnen (Sykehuset 2020),El Papi,0.672,0.534,0.0354,0.498,1,0.561,90.019,182000,-5.79,9,https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
37,LMK,Lil Xxel,0.748,0.457,0.0465,0.464,1,0.0292,123.035,188293,-7.56,6,https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB
38,Kesäxi rapakuntoon,Bat & Ryyd,0.726,0.909,0.0773,0.459,1,0.0434,124.006,197419,-9.261,0,https://open.spotify.com/track/6iCROUZnz2AT8OgYfSa0Ff
