position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,URL
1,Aykız - Remix,Ben Büdü,0.704,0.468,0.16,0.381,1,0.122,160.033,264040,-9.656,https://open.spotify.com/track/4J6VEVMY6w1Rri1R6wnK7w
2,ALEV ALEV,Zen-G,0.767,0.87,0.0548,0.804,1,0.169,121.978,174912,-5.001,https://open.spotify.com/track/2uOLubhbj02hnelPTNRZvV
3,Uzunlar - V1,Evdeki Saat,0.561,0.592,0.0437,0.965,0,0.18,169.975,282353,-10.41,https://open.spotify.com/track/1L7W7G37sxUhikHIJCgEMh
4,Seni Dert Etmeler,Madrigal,0.552,0.608,0.0274,0.835,0,0.148,88.002,188500,-11.211,https://open.spotify.com/track/2Aq4sw2LKalsQ7m4pzLZ88
5,I Like Him,Princess Nokia,0.893,0.579,0.113,0.611,1,0.0641,133.018,132453,-8.995,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
6,Tom's Diner,AnnenMayKantereit,0.68,0.428,0.135,0.334,0,0.376,98.222,269333,-8.107,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
7,Луна не знает пути,Тайпан,0.747,0.484,0.252,0.467,0,0.418,171.97,131163,-7.938,https://open.spotify.com/track/2erwvnNpf1mIyC0M6F7KDg
8,Bırakma Kendini,Kaan Boşnak,0.652,0.574,0.0261,0.577,0,0.411,103.996,240626,-11.093,https://open.spotify.com/track/087cds8zjbUmokjg2jdMOp
9,Deep End Freestyle,Sleepy Hallow,0.876,0.479,0.44,0.776,0,0.703,133.858,115200,-6.687,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
10,Neyin Nesi,Dolu Kadehi Ters Tut,0.431,0.752,0.311,0.688,0,0.107,208.323,196154,-9.055,https://open.spotify.com/track/4BH1Z9kmxkq3U1mAYLtHPu
11,Party Girl,StaySolidRocky,0.728,0.431,0.0622,0.629,0,0.749,130.022,147800,-9.966,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
12,Pusu Kuracaklar,Sabri Örge,0.705,0.842,0.115,0.663,1,0.115,113.144,248386,-6.831,https://open.spotify.com/track/5tB6fvAf2fIQDPoauopLj1
13,ily (i love you baby) (feat. Emilee),Surf Mesa,0.674,0.774,0.0892,0.33,0,0.0686,112.05,176547,-7.567,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
14,Mert KIYAK - Gel,Mert Kıyak,0.78,0.343,0.0769,0.547,0,0.586,84.979,172344,-10.33,https://open.spotify.com/track/7r36IPB6w0rPWMBDVJPshI
15,Ты мой кайф,Dzharo & Khanza,0.935,0.832,0.214,0.641,0,0.661,109.086,136514,-1.947,https://open.spotify.com/track/2MHSX5b2U5DEeebmpuX8Ha
16,THE SCOTTS,THE SCOTTS,0.716,0.537,0.0514,0.28,0,0.233,129.979,165978,-7.648,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
17,Play Date,Melanie Martinez,0.68,0.729,0.0475,0.446,1,0.612,123.97,179867,-5.077,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
18,Dünya Yıkılana Ömür Ayırana Dek,Meister,0.731,0.561,0.278,0.53,0,0.337,80.037,104046,-6.051,https://open.spotify.com/track/1EAfuc7LgTa5Mrm2ZgyCdV
19,Kavanoz Dipli Dünya,Turgut Akyüz,0.431,0.764,0.0531,0.517,1,0.484,151.924,224119,-4.554,https://open.spotify.com/track/7EhUVuaZ6F1EMYv9kWcmO6
20,Bu da Geçer - Akustik,Melek Büyükçınar,0.466,0.22,0.0304,0.433,0,0.842,93.228,153494,-8.227,https://open.spotify.com/track/1OvpUTSqeLjR8pjjSAMgW2
21,Bu Gün Bayram,Barış Manço,0.475,0.452,0.0414,0.677,1,0.583,96.906,155427,-13.987,https://open.spotify.com/track/4sNTDiLygCF0NAo3vDqhY2
22,Düş Yakamdan,UZI,0.763,0.727,0.0726,0.613,1,0.554,139.946,199000,-7.626,https://open.spotify.com/track/21gsq4esxsCV46ikMdqmaV
23,Судно (Борис Рижий),Molchat Doma,0.484,0.749,0.0687,0.468,1,0.699,160.006,141395,-4.176,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
