Position,"Track Name",Artist,Streams,URL
21,"Rundki (feat. Diho, Alberto & Bibic)","Malik Montana",36368,https://open.spotify.com/track/1QjaX3Jp5kbDDorjL9ktRQ
22,"Kings & Queens","Ava Max",36102,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
23,Patointeligencja,Mata,34824,https://open.spotify.com/track/3ZjytV5BojgvkPnXdY5zV2
24,Drift,Bialas,34637,https://open.spotify.com/track/2kYgryHD0pSjhorV2DOdxc
25,GOOBA,6ix9ine,34599,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
26,"GOMBAO 33",Mata,34430,https://open.spotify.com/track/2sTuKKRZI1ciK5tflR00YE
27,"Breaking Me",Topic,34318,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
28,"Toosie Slide",Drake,34004,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
29,"Dance Monkey","Tones And I",33739,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
30,Kamizelka,Szpaku,33647,https://open.spotify.com/track/76ZN52Yon1RYCjFfIOSDIg
31,Rainman,Tymek,33551,https://open.spotify.com/track/0wLOfy7IW0Unl5gfo3KKV2
32,"Będzie Lepiej",Miyo,32635,https://open.spotify.com/track/30OnKqCINi9fRJyQTEZeDz
33,"In Your Eyes","The Weeknd",32615,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
34,Salt,"Ava Max",32485,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
35,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,32383,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
36,Surfer,"Be Vis",31916,https://open.spotify.com/track/0nGz7MLKPrnpGVxBxZnbie
37,"Don't Start Now","Dua Lipa",31910,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
38,Supalonely,BENEE,31762,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
39,#Hot16Challenge2,"Young Igi",31643,https://open.spotify.com/track/3PUaw2barOPVxzoFhuhr7A
40,VOGUE,Bedoes,31522,https://open.spotify.com/track/0XthAWvbDoOunjDceV6Jq2
41,Schodki,Mata,30872,https://open.spotify.com/track/0vPVqOKo8LWVganQgBZS5y
42,"Biblioteka Trap",Mata,30531,https://open.spotify.com/track/7BGYwpS2RJ9Cp6YB6H0Xgd
43,"THE SCOTTS","THE SCOTTS",30476,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
44,"W PIĄTKI LEŻĘ W WANNIE","Taco Hemingway",29881,https://open.spotify.com/track/4bpShq8coki3AlMsXuFCDa
45,"Mogę Dziś Umierać","White 2115",29457,https://open.spotify.com/track/38r67NnLgSMEGhilk9QhF4
46,California,"White 2115",28202,https://open.spotify.com/track/2nFaT0t36H6UX3wN3Vxvjm
47,Wybory,Jan-Rapowanie,28150,https://open.spotify.com/track/3KeWngnWN1REq9d26ZanKj
48,"Say So","Doja Cat",27901,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
49,"Język ciała",Tymek,27837,https://open.spotify.com/track/3rM7bxaGhahPf0bhRBlrXM
50,"Jesteś ładniejsza niż na zdjęciach (na zawsze)",Bedoes,27481,https://open.spotify.com/track/55sNf76dIok3ddZtFiNaaf
51,"hot coffee",schafter,27258,https://open.spotify.com/track/4pzRQIRRHXYsAryBKXALCF
52,BLUE,Tiësto,26894,https://open.spotify.com/track/0gwmifwzIBArZYYwUNCuJb
53,NIEPŁACZĘPONOTREDAME,Quebonafide,26792,https://open.spotify.com/track/5VfxZFMY8Y5v47iZQMcIFI
54,Bali,Gedz,26719,https://open.spotify.com/track/6qa5AvDGpHe9j8EczP8Xe9
55,"Poza kontrolą",Tymek,26475,https://open.spotify.com/track/72sOrgrynSH73z4E41Ed0i
56,"Floyd Mayweather",Żabson,26355,https://open.spotify.com/track/5wOAQXIydVWJNatT6nKwhz
57,"LECI NOWY FUTURE","Taco Hemingway",26275,https://open.spotify.com/track/4DVPJXPqKLIon9BHklap1w
58,"Stuck with U (with Justin Bieber)","Ariana Grande",25864,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
59,"Play Date","Melanie Martinez",25536,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
60,"Sour Candy (with BLACKPINK)","Lady Gaga",25062,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
61,"@ (trailer)",chillwagon,25042,https://open.spotify.com/track/4fsZcOEWUxFyDe1ENTbvLM
62,Sexoholik,Żabson,24817,https://open.spotify.com/track/3gG4bxTKqZgX199TF22Cko
63,"Boss Bitch","Doja Cat",24646,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
64,"Królowa dram",sanah,24292,https://open.spotify.com/track/23qZiN0yTTxvUGMSaw6RGt
65,ASPARTAM,Quebonafide,24119,https://open.spotify.com/track/25zU3Mo74b4uzIqop5Hc4T
66,Outside,Kartky,24076,https://open.spotify.com/track/4SDdeq8HUaKPUGiE4WMASH
67,"Close Your Eyes","Felix Jaehn",23965,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
68,Bestia,"Young Igi",23965,https://open.spotify.com/track/5b9RQx9CLZRZcO1W8PvmcB
69,"Biorę się w garść","SB Maffija",23901,https://open.spotify.com/track/6ZYdXnVx5CNLja0ikYjVT2
70,"Anioły i Demony",Tymek,23495,https://open.spotify.com/track/5coU3PPTHqwvH3mXKRzHNj
71,"Przepis na dzień dobry","SB Maffija",23023,https://open.spotify.com/track/6WJ4ycgaqtflnPYORvpXSW
72,GAZPROM,Quebonafide,22898,https://open.spotify.com/track/4NwWyazGpdIDDeOPcgnNDj
73,"Chłopaki nie płaczą",Bedoes,22788,https://open.spotify.com/track/4glBRF3uJCf3bTG4hhIhpn
74,"Danse Macabre",CatchUp,22744,https://open.spotify.com/track/7DGUTJ95j1ofMbIzHlvLVd
75,"bad guy","Billie Eilish",22693,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
76,"Opowieści z Doliny Smoków",Bedoes,22546,https://open.spotify.com/track/0biUEKHyKAPBDLcrjCUFsu
77,Kosmita,Gedz,22403,https://open.spotify.com/track/0xH6vEdMC6IltXVSK1mPst
78,"The Box","Roddy Ricch",22160,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
79,Milion,Tymek,22127,https://open.spotify.com/track/1avXTMCRBEGiiYUEIr019c
80,"Wschód (lubię zapierdalać)",Bedoes,22079,https://open.spotify.com/track/7BF6s1W1W9filnjQkNYasL
81,"Magenta (prod. Auer)",Pezet,21521,https://open.spotify.com/track/07Agqdd4SD83JRgN19OjdW
82,"Gubię kroki","SB Maffija",21494,https://open.spotify.com/track/7ki8ooqJM5zV39pBe9qlp4
83,"Najnowszy Klip","Dawid Podsiadło",21402,https://open.spotify.com/track/35UvOH0tRlSCdtWtaXuiWh
84,"In Your Eyes (feat. Alida)","Robin Schulz",21391,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
85,"Brzydkie Rzeczy",Bedoes,21314,https://open.spotify.com/track/6STE4z6PBDVmCsIHejY66L
86,"Ona By Tak Chciała","Ronnie Ferrari",21302,https://open.spotify.com/track/4ocfGuRDytBDjTeJLDIDjL
87,"1998 (mam to we krwi)",Bedoes,21248,https://open.spotify.com/track/2dvxMlIfGY90Wvw8OSgZoF
88,"Not So Bad (feat. Emie)","Yves V",21114,https://open.spotify.com/track/1XFHbzTikXks9CsMq4v8Q3
89,"8 kobiet - Remix",TACONAFIDE,21040,https://open.spotify.com/track/5s6jooT9ZcUjjD5qVx9B5K
90,"Płuca zlepione topami",Guzior,21025,https://open.spotify.com/track/24XLOVBFwlv8bR1eLFeUik
91,Lasy,"SB Maffija",20938,https://open.spotify.com/track/3ivlGbUo7LUuoH0IY6nUjl
92,NICKI,"Trill Pem",20535,https://open.spotify.com/track/47vY0q2TEkkPsGNWtccNlZ
93,"Prawy do Lewego",Mata,20337,https://open.spotify.com/track/7ozXiOdFfLHACRuWVjhesz
94,"Someone You Loved","Lewis Capaldi",20307,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
95,Señorita,"Shawn Mendes",20243,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
96,"Blueberry Faygo","Lil Mosey",20021,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
97,Małomiasteczkowy,"Dawid Podsiadło",19874,https://open.spotify.com/track/77vLpSAMNzeYL4EBeZxWqI
98,"Sunday Best",Surfaces,19796,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
99,goosebumps,"Travis Scott",19793,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
