Position,"Track Name",Artist,Streams,URL
118,"IDK You Yet","Alexander 23",11753,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
119,"Hold Me While You Wait","Lewis Capaldi",11654,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
120,Tsunami,"Emilie Nicolas",11627,https://open.spotify.com/track/0K7jeCUmVI3JSfllgEYN62
121,Falling,"Harry Styles",11606,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
122,"Bare så du vett det",Stavangerkameratene,11532,https://open.spotify.com/track/7yRrAsBprcsSDtiENWVQds
123,Astronomia,Vicetone,11462,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
124,"Hotel Walls","Smith & Thell",11306,https://open.spotify.com/track/7MUUzpdrSa8UUEpyS1dGUq
125,"Det er fredag","Herman Flesvig",11290,https://open.spotify.com/track/7g35s50bVXtkp6zhihmvcu
126,"Raske Briller","Nicolay Ramm",11289,https://open.spotify.com/track/5lwU311GwiiWBhcXrdy1R4
127,"Tell Me One Thing","Amanda Delara",11281,https://open.spotify.com/track/5rMXdFUKhjgZLCpcbacnUw
128,Open,"Emilie Nicolas",11266,https://open.spotify.com/track/7cQLiT4VydYC8Go5nb5Y8Y
129,Righteous,"Juice WRLD",11233,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
130,Years,"Astrid S",11232,https://open.spotify.com/track/5WEAZtjEufELtaxqYcqCJg
131,"Lucid Dreams","Juice WRLD",11174,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
132,"Godzilla (feat. Juice WRLD)",Eminem,11171,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
133,Physical,"Dua Lipa",11158,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
134,"Vi Kanke Være Venner","Unge Ferrari",11148,https://open.spotify.com/track/0S0n02HdUboPxJSpDtOqS5
135,"Trenger en mann","Staysman & Lazz",11095,https://open.spotify.com/track/3ILRzR8SwJajRjrcySym2F
136,"Helt Ærlig","Morgan Sulele",11036,https://open.spotify.com/track/00NVYE5PrMpR1gVlC8zPZV
137,"Den finast eg veit",Hellbillies,11031,https://open.spotify.com/track/3NQDZSM47zCMao3GFkcqaV
138,Savage,"Megan Thee Stallion",10925,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
